label,flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand
C,493.45,502.96,497.34,491.75,492.33,-0.3432,8.6484,3.9495,-0.0056,-0.0051,0.0267,left
L,181.18,205.82,825.45,804.01,783.86,0.5557,8.1002,5.0818,0.0436,0.0554,0.0555,right
I,804.11,778.27,813.58,754.24,200.12,0.0381,9.4418,0.5719,-0.0305,-0.0003,0.0223,right
P,504.88,216.42,485.15,816.98,781.41,-3.1866,5.154,7.4185,0.0481,0.0726,0.0178,left
O,533.99,554.41,588.66,600.49,555.22,-0.1155,9.133,2.9891,-0.051,0.0404,0.0067,right
E,599.68,677.67,684.9,707.15,674.32,0.0839,9.8114,0.8086,-0.0288,-0.0106,0.0502,right
F,380.43,730.91,193.84,206.57,200.79,0.698,9.3776,2.1973,-0.0328,-0.0359,0.0564,right
G,502.47,193.57,793.85,787.9,774.48,4.9956,4.8895,6.1753,-0.035,0.0405,-0.0969,right
R,490.43,198.33,252.54,773.55,791.82,-0.2451,9.437,1.8447,0.0098,-0.017,-0.1054,left
F,402.3,743.43,184.33,204.37,181.7,-0.4808,9.4203,2.306,0.0543,-0.0516,-0.026,left
R,519.99,219.04,270.8,801.01,802.08,0.2825,9.2469,1.6617,-0.0226,0.0099,0.0503,right
Y,218.99,781.96,818.0,828.94,204.16,-0.1222,8.6571,4.0727,-0.0763,-0.0071,0.0773,left
Z,510.85,225.89,808.61,803.49,807.14,-0.6499,8.8037,1.8093,2.4917,1.4876,0.9955,left
Q,498.42,193.01,805.46,823.29,810.81,2.9155,5.5446,6.9947,-0.0018,0.0637,0.0373,right
K,518.93,213.83,370.34,798.7,773.29,-1.1022,8.7428,2.7393,-0.0262,-0.0269,-0.0868,left
Z,479.46,213.66,777.15,802.67,787.47,0.4597,9.2079,2.0059,2.5027,1.4722,1.0143,right
O,559.91,557.27,573.21,555.28,570.04,-0.153,9.0178,3.2015,-0.0317,-0.0382,-0.0712,right
B,726.89,200.31,190.01,182.37,198.99,0.0782,9.8229,0.1153,0.0491,-0.0658,0.0182,left
L,192.43,199.05,809.83,828.64,823.6,0.7045,7.7897,5.0064,-0.0271,-0.0042,0.0366,right
D,512.42,228.65,788.89,811.92,798.6,-0.0328,9.5176,1.6173,0.0773,0.0315,-0.0105,left
P,456.05,194.62,505.11,818.55,788.92,-2.9981,4.8834,7.7363,0.0466,-0.0529,-0.0386,left
N,694.73,792.77,777.78,808.58,804.42,0.0979,9.9199,0.8114,0.0605,-0.0567,-0.0372,right
X,488.89,503.52,825.22,811.67,781.04,0.1618,9.6058,1.168,-0.0369,-0.0711,-0.0294,right
M,811.54,827.99,815.04,797.21,816.46,-0.2076,9.587,0.761,-0.0023,-0.073,-0.0452,left
C,480.31,487.91,508.18,478.9,503.21,0.2818,8.4404,4.1217,-0.0594,-0.0672,0.12,right
D,490.19,199.46,800.97,784.55,771.2,-0.0862,9.3082,1.5386,0.0175,-0.08,-0.0059,left
Q,479.89,226.17,809.74,816.71,789.64,3.0622,5.4969,6.9317,-0.0543,-0.0192,-0.0156,right
Q,503.85,202.02,767.09,797.97,789.78,-3.0723,5.2329,7.2381,0.0938,0.057,-0.0202,left
F,344.38,723.22,191.03,201.97,215.33,0.2041,9.1593,2.0356,0.0554,-0.0083,0.002,right
V,490.71,220.24,166.52,798.17,799.92,-0.4301,9.1934,2.3698,0.0407,-0.0335,-0.0809,left
B,741.87,186.49,207.56,205.06,216.97,-0.1295,9.6908,0.3402,-0.0657,-0.0166,-0.0581,left
N,675.24,798.85,798.14,788.75,792.09,-0.3902,9.5903,0.4534,-0.0765,-0.0443,-0.0504,left
F,385.96,755.0,219.33,182.83,197.97,0.5882,9.1073,2.3233,-0.0398,-0.1006,-0.0702,right
O,561.37,571.3,565.56,561.67,529.32,0.2388,8.9878,3.0723,0.0343,0.0006,0.0592,right
I,794.76,807.46,754.48,796.9,194.29,-0.3698,9.7627,0.2434,0.0477,-0.0072,0.0026,left
R,520.2,206.7,274.46,806.6,798.19,0.3677,9.0685,1.8667,0.041,0.0742,-0.0468,right
V,483.84,203.76,201.42,799.15,774.99,0.6316,8.9294,2.441,-0.025,-0.0153,0.0209,right
A,707.36,771.21,823.32,811.85,798.02,0.1087,9.6509,0.5369,-0.0355,0.066,-0.1214,left
S,714.82,778.06,786.06,786.78,787.73,-0.1577,9.4339,0.5105,-0.0458,0.0275,-0.0134,left
B,724.23,167.0,182.34,218.33,183.53,-0.0825,9.6259,0.3298,0.0001,0.0245,-0.0053,right
A,664.91,792.42,791.09,803.5,833.85,0.2132,9.424,0.5389,-0.0159,0.0115,-0.0114,right
F,371.8,789.66,207.98,201.08,214.84,0.5572,8.9923,1.6117,0.0003,0.0493,-0.1207,right
B,747.67,226.36,210.98,181.41,200.02,-0.1326,9.6553,0.1756,-0.0407,0.0466,0.0005,left
E,606.6,643.36,656.28,670.06,681.8,-0.382,9.4388,0.8426,-0.0101,-0.0061,0.0139,left
Z,484.42,208.75,809.32,804.14,816.46,0.461,9.1509,1.9339,2.4732,1.5037,0.9645,right
H,502.6,206.61,187.52,811.33,823.0,-5.0064,4.9816,5.1577,0.0272,-0.0333,0.0121,left
C,511.68,484.87,493.64,497.93,521.38,-0.1407,8.5387,4.037,0.0069,-0.0348,0.0162,left
A,675.78,802.26,793.15,806.67,817.36,-0.0392,9.7737,0.2028,0.0237,0.0808,0.0414,left
K,480.25,201.08,381.53,781.27,787.61,0.8737,9.038,3.1067,0.0717,-0.0158,0.0847,right
H,472.68,215.17,190.72,770.94,797.69,-5.1281,4.8433,5.7332,0.0556,-0.0403,0.0307,left
A,683.54,773.41,798.13,823.7,793.89,0.0336,9.597,0.3926,-0.0596,0.1026,0.0682,right
H,481.45,206.19,213.64,800.45,802.17,5.2473,4.793,5.3835,0.0684,-0.0283,0.0204,right
D,493.98,200.9,819.45,786.38,767.78,0.1957,9.5703,1.2856,-0.0184,-0.0174,0.0014,right
Q,528.28,190.48,803.99,793.24,783.26,-3.1042,5.433,6.9329,-0.0103,-0.0697,-0.0581,left
A,681.07,815.02,794.01,788.83,789.88,0.1291,9.8491,0.5731,0.1665,-0.0016,0.031,left
Q,488.34,194.14,788.37,779.55,796.25,-2.9158,5.4929,7.2054,0.0649,0.0157,-0.0408,left
J,795.47,800.28,775.88,823.05,196.18,0.0256,9.7881,0.3963,2.977,0.5101,1.9733,left
O,568.31,552.27,588.34,540.79,554.22,-0.1685,8.8707,3.0791,-0.0385,-0.0171,0.0033,right
K,476.62,198.11,366.78,787.95,799.47,0.8774,8.8684,3.0397,-0.0772,-0.045,0.1044,right
Q,516.43,192.79,772.35,800.05,798.85,3.0894,5.4079,6.8314,-0.0558,-0.0016,0.0009,right
I,788.45,790.62,773.04,808.09,180.11,-0.167,9.3873,0.3004,0.0272,0.0046,0.0016,left
R,501.25,188.83,259.27,818.8,826.38,-0.1727,9.379,1.8152,0.0266,0.0365,-0.0179,left
F,388.44,749.3,196.08,194.76,187.31,0.5162,9.1143,1.7163,-0.0002,-0.0111,-0.0825,right
W,510.43,183.75,209.7,217.97,770.04,-0.2012,9.2518,1.4188,0.0069,-0.0143,-0.0207,left
R,462.98,210.87,240.99,797.36,810.22,-0.4052,9.2803,1.8574,0.0518,-0.0669,0.0646,left
M,799.16,824.88,807.48,801.09,787.24,-0.1199,9.5531,0.604,-0.1087,-0.0196,-0.009,left
X,499.38,481.63,790.0,808.65,793.59,-0.458,9.6544,1.1404,-0.1362,0.0239,0.0277,left
D,515.91,171.05,793.91,779.21,800.61,-0.3886,9.2933,1.343,0.0407,-0.0093,0.0334,left
R,483.64,212.36,281.87,802.61,804.26,0.1034,9.2345,1.5954,-0.016,0.0191,-0.0306,right
C,505.59,478.86,507.4,507.81,491.92,0.4551,8.5443,3.7564,-0.0207,0.0045,-0.0271,right
C,493.37,500.97,511.63,489.3,524.73,0.2255,8.267,3.9504,0.0362,0.03,0.0152,right
N,675.36,785.29,788.62,809.71,780.69,-0.1047,9.4469,0.8774,0.0558,-0.003,-0.0328,left
C,502.66,491.11,516.84,510.03,500.5,-0.4176,8.4502,3.8799,-0.0389,-0.0489,-0.0318,left
L,189.67,169.84,805.08,800.1,772.77,0.5352,8.0086,5.0681,-0.0178,-0.0088,-0.1008,right
P,521.99,204.44,510.38,821.71,793.19,-3.0194,4.7101,7.5695,-0.0913,0.0207,0.117,left
M,798.34,797.01,796.97,798.65,806.45,-0.2228,9.8371,0.471,-0.0128,-0.0965,-0.002,left
B,719.73,186.02,189.15,215.84,195.69,0.1069,9.5348,0.2626,-0.0023,-0.0086,-0.0112,left
D,533.39,208.56,778.79,785.21,779.63,-0.0046,9.4163,1.7514,-0.0185,-0.006,-0.016,right
A,680.83,815.3,789.54,796.22,776.6,0.1354,9.6735,0.5089,-0.014,0.0489,0.0031,right
Y,206.54,809.42,813.81,805.94,196.33,0.3468,8.6897,3.7819,-0.0281,-0.0232,0.0024,right
R,494.02,199.22,243.74,803.96,819.95,-0.2688,9.4627,1.8011,0.0387,0.0248,0.0415,left
V,508.51,221.05,191.21,794.01,769.41,-0.5543,9.048,2.5471,-0.0486,0.043,0.0472,left
S,739.36,803.67,781.66,818.72,803.33,0.1987,9.4875,0.2082,0.0722,0.0628,0.0768,left
Y,185.96,797.01,814.56,796.4,194.38,0.393,8.6696,3.9772,0.0128,-0.026,-0.0566,right
V,494.03,200.87,197.74,795.77,778.39,0.5153,8.9436,2.5355,0.0103,0.0584,0.0324,right
L,216.08,193.42,785.15,800.48,809.35,0.2915,8.0516,5.0947,-0.09,0.076,-0.0788,right
W,476.76,193.9,189.0,170.76,797.87,0.4042,9.4899,1.6237,0.0772,-0.0487,-0.0163,right
V,508.48,214.54,188.04,796.7,795.29,0.521,8.7882,2.4736,0.0105,-0.046,-0.0322,right
B,751.43,217.38,194.5,189.38,190.91,-0.1472,9.688,0.2427,0.0008,-0.0246,-0.0369,right
Q,499.52,202.96,795.31,798.92,778.14,-2.9645,5.402,6.8993,-0.0584,0.0533,0.0555,left
F,377.81,752.97,193.0,202.71,207.09,-0.4033,9.4085,2.0201,-0.0339,-0.003,-0.0258,left
A,668.95,810.32,783.15,783.9,774.65,-0.263,9.7569,0.374,0.0737,-0.0833,0.081,left
T,603.34,790.66,795.72,801.05,820.8,-0.2596,9.3981,0.1075,-0.0376,0.0949,-0.0141,left
M,834.69,789.22,802.91,785.37,822.74,-0.2588,9.6004,1.0418,-0.015,-0.009,0.043,left
I,830.5,799.27,795.56,772.5,197.84,0.0071,9.889,0.152,-0.0823,-0.0418,0.0324,right
A,693.1,796.39,805.65,803.72,811.73,-0.067,9.7852,0.2728,-0.131,-0.0303,-0.0458,right
E,635.87,676.1,660.73,694.55,700.07,-0.0216,9.1275,0.7475,-0.0135,0.04,0.0173,left
M,783.12,813.69,796.23,803.54,775.37,-0.171,9.7288,0.6199,0.047,0.042,0.1265,left
M,797.86,786.96,831.36,807.72,799.35,0.185,9.652,0.6011,-0.0492,0.042,0.0528,right
V,485.49,194.89,203.09,800.26,794.24,-0.5389,9.0071,2.6672,-0.0311,0.0092,-0.0461,left
M,816.2,796.58,795.26,791.82,789.05,-0.0269,9.5601,0.6682,-0.0481,0.0648,0.0088,right
J,824.11,803.86,821.17,797.79,201.66,-0.1949,9.6389,0.3131,3.0331,0.5899,1.9865,left
L,194.58,192.33,819.66,778.01,801.8,-0.6371,7.8154,5.0954,0.0802,-0.0789,0.0175,left
B,720.34,199.19,195.59,184.26,218.01,0.2023,9.7609,0.2039,-0.0875,0.0037,0.0368,right
U,517.65,212.58,212.03,782.39,805.81,-0.2206,9.5864,1.0155,0.0247,0.0233,-0.0329,left
I,796.15,796.4,791.13,808.92,205.88,0.1827,10.0304,0.4802,-0.0985,-0.0698,-0.003,right
N,695.29,811.43,814.09,789.53,800.38,-0.6754,9.5224,0.6076,-0.0334,-0.0258,0.0644,left
U,490.75,222.97,198.65,799.76,816.57,0.0415,9.7959,1.1433,0.0343,-0.0355,0.0335,right
U,493.65,198.64,174.83,797.58,804.74,0.2521,9.4589,0.6654,-0.0956,-0.0352,0.069,right
X,486.79,506.19,805.5,812.53,795.16,-0.6202,9.3831,1.1481,-0.0029,-0.0466,-0.0028,left
G,475.43,233.23,804.52,795.44,797.74,-5.161,5.2704,5.9874,-0.0218,0.0879,0.0516,left
L,232.1,203.24,823.63,818.4,837.52,0.488,8.1203,4.9894,-0.0812,0.0945,-0.0539,right
T,618.75,813.01,802.38,791.26,782.68,-0.0094,9.6948,0.4062,0.0453,0.0835,0.0298,right
F,356.69,751.41,178.21,182.45,197.2,0.3525,9.3813,1.9271,-0.0698,-0.0161,-0.004,right
P,489.59,197.38,486.37,810.3,810.48,2.8304,5.0063,7.3467,0.0383,0.0703,0.0637,right
P,503.74,203.77,511.05,767.4,807.59,2.9142,4.6898,7.4437,0.0706,-0.0416,-0.0059,right
S,740.03,819.16,801.3,802.84,805.33,-0.1668,9.7708,0.3609,-0.0327,-0.0686,-0.0069,left
J,833.14,767.85,839.83,810.94,224.84,-0.0069,9.6402,0.2171,3.0133,0.5195,1.9538,left
Q,486.88,184.48,802.51,798.53,789.33,2.7935,5.3578,6.8586,-0.017,-0.0333,0.0179,right
E,603.01,689.71,668.38,685.79,667.08,-0.1007,9.7475,0.9606,-0.0663,-0.037,0.008,right
N,669.51,791.03,816.48,798.75,807.56,-0.3419,9.362,0.6678,0.0438,0.0561,0.0599,left
T,657.07,809.89,775.42,802.83,790.21,-0.5051,9.607,0.3521,-0.0072,-0.0206,-0.003,left
C,508.29,481.24,493.47,497.65,487.68,-0.264,8.6023,3.898,-0.0159,-0.1138,-0.0375,left
F,399.85,738.03,192.68,204.91,193.79,0.3214,8.9323,1.6412,-0.0527,0.0612,-0.0469,right
C,483.62,484.37,532.86,503.96,512.41,0.0851,8.4128,3.9405,0.0745,-0.0654,0.0037,left
V,517.68,173.8,194.99,813.04,804.41,0.7511,8.9908,2.751,-0.0284,-0.0874,0.0215,right
W,499.74,171.35,192.49,172.17,795.09,-0.3348,9.109,1.3635,-0.0599,0.0294,-0.0317,left
A,696.18,808.2,795.22,781.7,789.12,-0.1655,9.7034,0.422,0.0368,-0.0475,-0.0866,left
N,692.68,810.36,815.95,757.87,808.16,-0.4195,9.1983,0.919,-0.011,0.0328,0.0432,left
E,607.46,677.78,666.44,660.8,685.78,0.0187,9.7468,0.8783,0.0212,0.0376,-0.0457,right
R,508.53,213.06,272.86,768.93,806.4,0.3346,9.3528,2.0333,0.0419,0.0937,0.0713,right
C,516.81,496.86,511.61,491.15,497.87,0.0617,8.5655,4.0189,-0.0628,0.0187,0.0161,right
U,524.4,201.77,187.78,805.27,824.8,-0.1708,9.5506,0.5987,-0.0026,0.049,0.0978,left
S,732.9,817.33,788.37,781.13,804.5,-0.1391,9.7117,0.4634,-0.0159,0.0471,0.0237,left
D,498.84,172.1,777.4,794.53,777.06,-0.2506,9.8147,1.5991,-0.0445,0.0084,0.0416,left
K,512.62,212.98,394.2,810.44,817.74,1.0595,9.2756,3.0393,-0.0233,0.0909,-0.0363,right
A,683.73,821.72,790.26,807.22,823.42,0.2092,9.5937,0.6441,-0.0413,-0.087,-0.0058,right
P,501.38,211.67,500.21,800.38,813.8,2.9228,5.1192,7.3166,-0.0061,-0.0533,0.0361,right
X,512.75,499.71,770.62,806.78,818.39,0.6962,9.1943,1.125,-0.0062,0.0244,0.0298,right
W,519.91,197.67,208.57,209.98,799.32,-0.6846,9.2758,1.6205,-0.0287,0.0527,0.0064,left
Z,506.65,232.54,793.54,799.71,805.49,-0.5875,9.1423,1.8115,2.4377,1.4162,1.058,left
B,748.18,207.31,185.53,196.52,174.75,0.2655,9.7383,0.0235,-0.0687,-0.042,0.0548,left
G,511.86,222.15,824.11,800.66,830.0,-5.1547,5.1012,5.8631,-0.0102,-0.0303,-0.011,left
J,790.93,780.36,810.21,797.31,203.82,0.1133,9.6944,0.4551,3.0289,0.5212,1.9423,right
P,501.74,218.72,483.83,805.53,761.08,2.902,5.1353,7.8224,-0.0467,0.0145,0.0609,right
R,503.14,187.53,263.52,795.52,799.69,0.2619,9.6086,1.8789,-0.0662,0.0355,-0.0033,right
U,509.56,207.83,228.5,801.58,803.32,0.1658,9.7402,1.1887,-0.0157,-0.0213,-0.0069,right
S,752.23,801.7,825.93,793.6,796.02,0.132,9.7697,0.3192,-0.0151,-0.0194,-0.0341,right
M,782.97,807.65,764.81,797.3,795.18,-0.198,9.6828,0.7689,-0.0143,0.004,-0.014,left
P,496.54,218.42,502.44,786.48,791.96,3.0809,5.1373,7.4398,-0.0275,-0.0183,-0.0554,right
Q,522.35,194.72,814.5,793.9,821.29,-3.157,5.4761,6.8775,-0.0709,0.043,0.0663,left
N,673.79,812.77,778.36,799.61,809.89,0.42,9.4104,0.6037,-0.0444,-0.1234,0.044,right
U,495.62,209.88,208.64,811.49,815.38,0.1739,9.4203,1.2046,-0.0471,-0.0153,-0.02,right
G,475.82,224.63,810.42,808.2,816.38,-4.9699,4.955,5.8345,-0.0274,-0.0286,-0.0244,left
I,801.88,766.21,792.86,795.14,198.31,-0.0145,9.5394,0.4373,-0.0483,0.0482,0.0244,right
Q,503.22,173.4,795.8,799.62,832.57,3.055,5.5503,6.8162,0.0407,0.0297,0.0018,right
M,792.06,771.74,785.83,791.64,770.28,-0.1625,9.6765,0.6156,-0.0113,0.0603,0.015,left
X,525.93,499.47,803.46,805.78,809.66,0.434,9.3581,1.1499,0.0473,-0.0661,0.0794,right
K,516.59,202.38,401.74,807.16,816.33,0.878,9.048,2.8981,-0.0118,0.1482,-0.0464,right
X,515.17,482.44,791.35,804.87,775.5,-0.6459,9.3535,1.2927,-0.0277,-0.0433,-0.0394,left
E,650.84,695.96,666.14,682.06,689.35,-0.0732,9.815,0.7258,0.0496,-0.0315,0.0254,left
X,489.11,507.47,815.21,801.72,815.18,-0.3793,9.2662,1.2649,0.0442,0.0466,-0.012,left
M,789.37,789.54,813.21,800.71,817.27,0.4393,9.3789,0.4704,-0.0713,-0.0147,0.0285,right
R,496.26,200.25,272.86,785.89,793.35,0.3628,9.4527,1.8751,-0.0163,-0.0711,0.0899,right
S,752.84,796.34,805.09,802.94,792.52,-0.2108,9.5388,0.377,-0.0126,-0.0043,0.0188,left
F,381.89,743.81,192.71,206.5,189.35,0.1988,9.1035,1.8965,0.061,0.036,-0.0025,right
X,488.08,511.61,788.17,791.43,786.17,-0.3188,9.4726,1.2387,-0.0194,0.0461,0.0018,left
K,518.79,192.37,353.59,823.75,782.2,-1.1194,9.0442,2.8727,0.047,0.0254,-0.0274,left
M,827.7,776.64,831.16,795.63,825.88,-0.3049,9.8075,0.43,-0.0641,0.0341,0.0541,left
R,508.69,209.77,263.24,801.46,810.71,-0.2419,9.3657,1.7932,0.0827,-0.052,0.0152,left
O,578.15,563.66,535.37,603.15,579.29,0.0319,9.2171,3.1496,-0.0304,0.0065,-0.0491,left
G,511.16,242.55,772.33,836.4,785.41,-5.2032,4.8558,6.1101,0.0108,-0.031,-0.029,left
I,794.78,777.23,799.98,788.77,197.45,-0.2674,9.8375,0.1232,-0.0675,-0.012,-0.101,right
P,482.68,183.69,517.76,789.76,798.16,2.9048,5.2423,7.7652,0.0502,0.0182,-0.0373,right
G,510.47,225.62,775.77,784.49,818.04,-4.9866,4.9721,6.2002,-0.0141,0.04,-0.0618,left
S,743.62,802.93,786.54,792.47,761.66,-0.2901,9.954,0.2439,-0.0292,0.0029,0.0303,left
A,688.02,825.11,810.22,789.97,788.03,0.0987,9.87,0.7855,0.1229,-0.0449,-0.0283,right
D,503.72,211.75,773.56,787.38,822.3,0.0072,9.36,1.3924,0.0416,0.06,0.0421,right
D,490.43,209.86,811.45,809.95,772.55,0.2769,9.4369,1.341,-0.0919,0.0492,0.0133,right
Q,496.18,190.79,805.61,776.44,819.56,-3.0984,5.8676,6.9217,0.0397,-0.0199,0.0307,left
Q,502.11,222.68,800.11,780.47,774.25,2.8239,5.5307,6.8392,0.0147,0.0194,0.1267,right
E,649.06,684.85,644.39,694.77,649.78,-0.1946,9.5862,0.7399,-0.0097,-0.0282,0.0072,right
J,801.78,794.42,786.56,787.25,230.21,0.134,9.6119,0.4939,3.002,0.4377,1.972,right
K,509.21,178.41,375.53,824.96,804.97,-0.6961,8.8735,3.0038,-0.0452,0.0184,-0.0344,left
T,574.88,789.68,799.42,801.86,800.62,-0.2721,9.5114,0.6694,0.0401,0.0155,-0.0092,left
T,624.27,794.85,804.41,798.66,819.32,-0.0099,9.2296,0.3371,-0.0918,-0.015,0.0525,left
L,212.35,183.53,820.71,831.37,821.69,0.4742,8.0629,4.7468,-0.0141,0.1153,-0.097,right
D,533.79,210.61,801.28,810.29,799.02,-0.0239,9.5244,1.6691,0.0551,0.0127,-0.0468,left
X,508.39,496.55,802.22,795.42,810.59,-0.414,9.2066,1.6254,0.0171,-0.0862,0.0611,left
I,803.41,806.93,799.51,790.9,198.93,0.0802,9.6765,0.56,0.0346,0.0712,0.0482,right
W,501.21,197.81,222.75,205.84,806.48,-0.1334,9.5114,1.4761,0.0327,-0.1155,0.0661,left
W,488.79,214.05,196.55,240.9,788.84,-0.3564,9.6904,1.269,0.0222,-0.0475,0.0767,left
E,611.86,668.24,663.74,656.6,665.5,-0.0152,9.751,0.7005,-0.0606,0.0803,-0.0572,left
F,381.12,743.84,222.05,202.96,209.71,-0.3349,9.5347,1.8071,0.0258,-0.0382,-0.0928,left
V,493.53,211.39,190.88,832.68,796.97,0.7079,8.9295,2.6883,0.0915,-0.098,-0.0743,right
H,477.1,198.5,202.89,807.47,766.94,-4.7893,5.3047,5.3978,0.0617,-0.0546,-0.0412,left
T,605.49,804.74,805.92,803.84,789.18,-0.0383,9.4281,0.4719,0.0503,0.0447,0.0378,left
R,509.2,187.64,254.95,792.69,826.37,-0.177,9.4503,1.6028,0.0133,-0.0897,-0.0444,left
K,495.91,211.67,380.82,797.47,811.83,1.0311,8.9586,2.9726,-0.0182,0.0498,-0.001,right
G,502.0,185.67,808.71,794.91,773.02,-5.1225,5.157,6.0032,-0.009,-0.0033,-0.0556,left
O,546.28,547.84,566.03,549.31,578.8,0.0813,8.9865,3.215,-0.007,-0.0214,-0.0599,left
Z,486.4,197.88,831.24,795.86,790.74,-0.636,8.6275,1.7883,2.5771,1.5651,0.9932,left
S,745.98,799.3,803.09,799.39,798.21,-0.2413,9.9493,0.0382,-0.0803,-0.0917,-0.0046,left
Z,505.27,235.02,788.05,805.66,825.55,0.5867,8.837,1.6465,2.4567,1.4835,1.0429,right
V,511.34,199.86,175.8,825.95,793.02,-0.4494,9.0253,2.574,-0.044,0.0214,0.0238,left
E,627.35,672.15,668.32,663.31,705.94,0.0187,9.5054,0.8861,0.0602,0.0159,0.0348,right
U,480.21,198.7,179.24,785.7,812.11,-0.1135,9.474,1.3675,-0.0085,0.0939,-0.0353,left
E,629.91,676.59,666.72,669.49,669.51,0.0121,9.5295,0.8443,-0.0741,-0.0424,-0.0428,left
Y,215.36,797.14,774.41,823.11,205.26,0.1354,8.6586,3.7343,0.0083,-0.0829,0.056,right
P,529.25,185.71,498.99,782.38,766.8,2.972,5.2531,7.6293,-0.0659,-0.0787,0.0525,right
I,768.0,778.44,813.44,810.41,209.93,-0.094,9.5224,0.4284,-0.0505,0.0174,0.0293,left
X,493.25,498.56,818.52,805.46,803.44,-0.5127,9.3494,0.8299,0.0386,-0.0438,0.0041,left
P,515.41,209.74,516.06,820.75,781.25,-3.102,4.9232,7.4646,-0.0383,-0.0167,0.0146,left
S,735.39,808.53,821.46,793.59,804.74,-0.3082,9.7322,0.3704,0.0244,0.0072,0.0871,left
Q,502.74,196.31,811.42,797.05,813.22,-3.1904,5.4552,6.9435,0.0844,-0.0272,0.0456,left
Z,501.43,223.18,796.27,803.39,807.25,-0.4566,9.0809,2.0706,2.468,1.4769,0.9435,left
K,501.24,194.45,423.54,815.76,812.55,1.0846,8.8258,2.8907,-0.0931,0.0479,0.0458,right
V,497.57,210.27,190.87,824.1,815.51,0.5825,9.0267,2.6355,0.0172,-0.0875,-0.0496,right
B,711.59,213.35,175.91,214.49,180.49,0.1442,9.7503,0.32,-0.0038,0.1238,-0.0219,right
V,493.52,185.48,204.02,786.73,813.24,0.2922,9.0655,2.6905,-0.0807,-0.0021,0.0517,right
H,496.42,194.84,214.43,818.42,810.73,5.1134,5.3767,5.1951,0.1038,0.0124,-0.0608,right
F,402.61,769.34,242.75,196.12,192.94,-0.476,9.2116,1.969,-0.0568,-0.1402,0.0589,left
R,493.14,193.8,244.26,798.1,793.6,-0.3425,9.2844,2.2454,0.0486,-0.0196,0.031,left
G,488.4,230.12,785.24,788.93,833.42,-4.9947,4.8741,6.0563,-0.0228,-0.0405,0.0164,left
X,503.54,502.94,785.9,800.14,829.17,-0.4284,9.3163,1.3875,-0.0601,0.1077,-0.0358,left
B,736.45,180.47,210.12,218.54,178.99,-0.1966,9.9358,0.3815,0.1193,0.024,0.0075,right
A,658.97,795.88,800.12,779.97,799.71,0.3087,9.477,0.3295,0.0224,-0.0771,0.0214,right
J,791.3,797.04,810.61,803.13,208.24,-0.0793,9.9556,0.1706,2.9887,0.5877,1.9763,left
D,487.92,180.82,796.07,778.46,811.62,-0.2018,9.3703,1.5728,0.0765,0.0173,-0.0292,left
V,480.12,177.7,217.43,792.45,802.81,-0.594,9.0697,2.567,-0.04,0.0682,-0.1087,left
G,485.46,180.24,800.43,769.64,792.67,4.76,5.009,5.8685,0.0474,-0.0354,-0.0148,right
O,576.22,566.29,530.78,533.78,568.59,-0.007,8.7649,2.7944,-0.1056,0.001,-0.1006,left
K,521.8,186.59,359.32,792.86,785.87,-1.0166,9.0279,3.0831,-0.0966,-0.022,0.0116,left
F,384.18,724.28,227.25,220.39,215.43,0.4991,9.168,2.0114,-0.0713,0.0084,0.0324,right
L,190.59,200.25,801.47,777.62,824.74,-0.3329,7.8746,5.1911,0.0144,-0.0295,0.0282,left
V,525.44,208.37,209.43,793.77,801.45,0.3766,8.9196,2.5464,0.0006,0.1131,-0.0252,right
E,619.22,681.79,673.27,666.98,691.46,0.0841,9.6624,0.7263,-0.0032,0.0395,0.0443,left
Z,490.08,192.96,811.31,803.18,774.76,-0.2542,9.0408,2.0528,2.4706,1.4918,0.9596,left
U,518.61,180.72,205.81,799.06,799.2,-0.3542,9.5661,0.9407,-0.009,-0.0007,0.051,left
A,686.28,776.99,826.22,804.22,799.26,-0.2423,9.8769,0.4301,-0.0405,-0.0948,-0.0374,left
E,627.81,650.28,693.97,682.75,658.25,-0.0808,9.5651,0.9685,0.0255,-0.0061,-0.0313,right
B,739.5,192.16,180.08,213.37,194.77,0.0686,10.1705,0.0363,0.0075,0.0482,-0.0034,left
Q,492.1,199.65,805.91,799.6,791.27,3.1089,5.6331,7.0725,0.0085,-0.043,-0.0376,right
Z,531.67,206.06,804.79,794.64,828.92,0.6122,8.5689,1.8484,2.5643,1.4415,0.9798,right
Q,472.03,197.02,818.63,839.3,800.08,-2.7476,5.4355,6.9849,0.0503,-0.0118,-0.034,left
M,807.6,798.29,802.38,816.42,814.53,0.3219,9.5136,0.8924,-0.0188,0.0501,0.0207,right
S,740.78,762.06,815.52,822.23,818.7,0.0181,9.3863,0.3251,0.0359,0.0154,0.0424,left
C,519.09,506.44,528.85,514.1,518.98,0.4477,8.4703,4.1205,0.0128,0.0132,-0.028,right
U,496.25,190.81,194.06,812.66,804.79,-0.1755,9.6799,1.2641,0.0033,-0.046,-0.1107,left
U,508.66,178.17,193.62,798.4,766.26,0.0852,9.4966,0.8526,-0.0701,-0.0486,0.0279,right
F,405.83,749.43,200.38,218.46,211.57,0.618,9.0985,2.0911,-0.0805,-0.012,-0.0318,right
